what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"ja_JP",1261409996988
processors,sysinfo,,,"2",1261409996988
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261409996988
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261409996989
java.specification.name,sysinfo,,,"Java Platform API Specification",1261409996989
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261409996989
java.specification.version,sysinfo,,,"1.6",1261409996989
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261409996989
java.version,sysinfo,,,"1.6.0_17",1261409996989
java.vm.info,sysinfo,,,"mixed mode, sharing",1261409996989
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261409996989
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261409996989
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261409996989
java.vm.specification.version,sysinfo,,,"1.0",1261409996989
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261409996989
java.vm.version,sysinfo,,,"14.3-b01",1261409996989
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1261409998571
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1261410012943
